[ 2016-02-06T09:40:45+08:00 ] /index.php?s=/Admin/Sale/proIndex&_=1454722845100 | INFO: Tag[ route_check ] --START--
[ 2016-02-06T09:40:45+08:00 ] /index.php?s=/Admin/Sale/proIndex&_=1454722845100 | INFO: Run CheckRoute Behavior [ RunTime:0.007001s ]
[ 2016-02-06T09:40:45+08:00 ] /index.php?s=/Admin/Sale/proIndex&_=1454722845100 | INFO: Tag[ route_check ] --END-- [ RunTime:0.007001s ]
[ 2016-02-06T09:40:45+08:00 ] /index.php?s=/Admin/Sale/proIndex&_=1454722845100 | INFO: Tag[ app_begin ] --START--
[ 2016-02-06T09:40:45+08:00 ] /index.php?s=/Admin/Sale/proIndex&_=1454722845100 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.006000s ]
[ 2016-02-06T09:40:45+08:00 ] /index.php?s=/Admin/Sale/proIndex&_=1454722845100 | INFO: Run CheckLang Behavior [ RunTime:0.011001s ]
[ 2016-02-06T09:40:45+08:00 ] /index.php?s=/Admin/Sale/proIndex&_=1454722845100 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.018001s ]
[ 2016-02-06T09:40:45+08:00 ] /index.php?s=/Admin/Sale/proIndex&_=1454722845100 | SQL: SHOW COLUMNS FROM `config` [ RunTime:0.027002s ]
[ 2016-02-06T09:40:45+08:00 ] /index.php?s=/Admin/Sale/proIndex&_=1454722845100 | SQL: SELECT * FROM `config` WHERE ( `name` = 'DIFFTIME' ) LIMIT 1   FOR UPDATE  [ RunTime:0.001000s ]
[ 2016-02-06T09:40:45+08:00 ] /index.php?s=/Admin/Sale/proIndex&_=1454722845100 | SQL: SHOW COLUMNS FROM `dms_报单` [ RunTime:0.023001s ]
[ 2016-02-06T09:40:45+08:00 ] /index.php?s=/Admin/Sale/proIndex&_=1454722845100 | SQL: SHOW COLUMNS FROM `xtable_set` [ RunTime:0.019001s ]
[ 2016-02-06T09:40:45+08:00 ] /index.php?s=/Admin/Sale/proIndex&_=1454722845100 | SQL: SELECT * FROM `xtable_set` WHERE 地址='/index.php?s=/Admin/Sale/proIndex' LIMIT 1   [ RunTime:0.000000s ]
[ 2016-02-06T09:40:45+08:00 ] /index.php?s=/Admin/Sale/proIndex&_=1454722845100 | SQL: INSERT INTO `xtable_set` (`地址`,`标题`,`显示`,`排序`,`数组MD5`) VALUES ('/index.php?s=/Admin/Sale/proIndex','订单ID,会员编号,姓名,订单状�\�,付款日期,物流状�\�,发货日期,收货日期,服务中心,付款�\�,注册�\�,订单类别,报单金额,购物金额,实付�\�,原级�\�,新级�\�,收货�\�,联系电话,收货地址,产品信息','1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0','0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20','8b2046370092b9d07a8724a867e7566f') [ RunTime:0.000000s ]
