[16-02-05 09:55:02]  () AuthCheckAction->index()
[16-02-05 09:55:02] C:\WWW\dmsbeta\ThinkPHP\Lib\Core\App.class.php (133) call_user_func(array)
[16-02-05 09:55:02] C:\WWW\dmsbeta\ThinkPHP\Lib\Core\App.class.php (160) App::exec()
[16-02-05 09:55:02] C:\WWW\dmsbeta\ThinkPHP\Lib\Core\Think.class.php (48) App::run()
[16-02-05 09:55:02] C:\WWW\dmsbeta\ThinkPHP\Common\runtime.php (241) Think::Start()
[16-02-05 09:55:02] C:\WWW\dmsbeta\ThinkPHP\ThinkPHP.php (41) require(C:\WWW\dmsbeta\ThinkPHP\Common\runtime.php)
[16-02-05 09:55:02] C:\WWW\dmsbeta\public_html\index.php (20) require(C:\WWW\dmsbeta\ThinkPHP\ThinkPHP.php)

[ 2016-02-05T10:00:29+08:00 ] /index.php?s=/Admin/AuthCheck/index&_=1454637629401 | INFO: Tag[ app_init ] --START--
[ 2016-02-05T10:00:29+08:00 ] /index.php?s=/Admin/AuthCheck/index&_=1454637629401 | INFO: Run XSS Behavior [ RunTime:0.002000s ]
[ 2016-02-05T10:00:29+08:00 ] /index.php?s=/Admin/AuthCheck/index&_=1454637629401 | INFO: Tag[ app_init ] --END-- [ RunTime:0.005000s ]
[ 2016-02-05T10:00:29+08:00 ] /index.php?s=/Admin/AuthCheck/index&_=1454637629401 | INFO: Tag[ route_check ] --START--
[ 2016-02-05T10:00:29+08:00 ] /index.php?s=/Admin/AuthCheck/index&_=1454637629401 | INFO: Run CheckRoute Behavior [ RunTime:0.002000s ]
[ 2016-02-05T10:00:29+08:00 ] /index.php?s=/Admin/AuthCheck/index&_=1454637629401 | INFO: Tag[ route_check ] --END-- [ RunTime:0.002000s ]
[ 2016-02-05T10:00:29+08:00 ] /index.php?s=/Admin/AuthCheck/index&_=1454637629401 | INFO: Tag[ app_begin ] --START--
[ 2016-02-05T10:00:29+08:00 ] /index.php?s=/Admin/AuthCheck/index&_=1454637629401 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.002000s ]
[ 2016-02-05T10:00:29+08:00 ] /index.php?s=/Admin/AuthCheck/index&_=1454637629401 | INFO: Run CheckLang Behavior [ RunTime:0.008000s ]
[ 2016-02-05T10:00:29+08:00 ] /index.php?s=/Admin/AuthCheck/index&_=1454637629401 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.010000s ]
[ 2016-02-05T10:00:29+08:00 ] /index.php?s=/Admin/AuthCheck/index&_=1454637629401 | INFO: Tag[ app_end ] --START--
[ 2016-02-05T10:00:29+08:00 ] /index.php?s=/Admin/AuthCheck/index&_=1454637629401 | INFO: Run SaveConfig Behavior [ RunTime:0.003001s ]
[ 2016-02-05T10:00:29+08:00 ] /index.php?s=/Admin/AuthCheck/index&_=1454637629401 | INFO: Tag[ app_end ] --END-- [ RunTime:0.003001s ]
[ 2016-02-05T10:01:00+08:00 ] /index.php?s=/Admin/AuthCheck/index1&_=1454637660677 | INFO: Tag[ app_init ] --START--
[ 2016-02-05T10:01:00+08:00 ] /index.php?s=/Admin/AuthCheck/index1&_=1454637660677 | INFO: Run XSS Behavior [ RunTime:0.002000s ]
[ 2016-02-05T10:01:00+08:00 ] /index.php?s=/Admin/AuthCheck/index1&_=1454637660677 | INFO: Tag[ app_init ] --END-- [ RunTime:0.002000s ]
[ 2016-02-05T10:01:00+08:00 ] /index.php?s=/Admin/AuthCheck/index1&_=1454637660677 | INFO: Tag[ route_check ] --START--
[ 2016-02-05T10:01:00+08:00 ] /index.php?s=/Admin/AuthCheck/index1&_=1454637660677 | INFO: Run CheckRoute Behavior [ RunTime:0.004000s ]
[ 2016-02-05T10:01:00+08:00 ] /index.php?s=/Admin/AuthCheck/index1&_=1454637660677 | INFO: Tag[ route_check ] --END-- [ RunTime:0.004000s ]
[ 2016-02-05T10:01:00+08:00 ] /index.php?s=/Admin/AuthCheck/index1&_=1454637660677 | INFO: Tag[ app_begin ] --START--
[ 2016-02-05T10:01:00+08:00 ] /index.php?s=/Admin/AuthCheck/index1&_=1454637660677 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.002000s ]
[ 2016-02-05T10:01:00+08:00 ] /index.php?s=/Admin/AuthCheck/index1&_=1454637660677 | INFO: Run CheckLang Behavior [ RunTime:0.008000s ]
[ 2016-02-05T10:01:00+08:00 ] /index.php?s=/Admin/AuthCheck/index1&_=1454637660677 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.010000s ]
[ 2016-02-05T10:01:01+08:00 ] /index.php?s=/Admin/AuthCheck/index1&_=1454637660677 | INFO: Tag[ app_end ] --START--
[ 2016-02-05T10:01:01+08:00 ] /index.php?s=/Admin/AuthCheck/index1&_=1454637660677 | INFO: Run SaveConfig Behavior [ RunTime:0.003000s ]
[ 2016-02-05T10:01:01+08:00 ] /index.php?s=/Admin/AuthCheck/index1&_=1454637660677 | INFO: Tag[ app_end ] --END-- [ RunTime:0.003000s ]
[ 2016-02-05T10:01:20+08:00 ] /index.php?s=/Admin/AuthCheck/index1&_=1454637680387 | INFO: Tag[ app_init ] --START--
[ 2016-02-05T10:01:20+08:00 ] /index.php?s=/Admin/AuthCheck/index1&_=1454637680387 | INFO: Run XSS Behavior [ RunTime:0.002000s ]
[ 2016-02-05T10:01:20+08:00 ] /index.php?s=/Admin/AuthCheck/index1&_=1454637680387 | INFO: Tag[ app_init ] --END-- [ RunTime:0.003000s ]
[ 2016-02-05T10:01:20+08:00 ] /index.php?s=/Admin/AuthCheck/index1&_=1454637680387 | INFO: Tag[ route_check ] --START--
[ 2016-02-05T10:01:20+08:00 ] /index.php?s=/Admin/AuthCheck/index1&_=1454637680387 | INFO: Run CheckRoute Behavior [ RunTime:0.004000s ]
[ 2016-02-05T10:01:20+08:00 ] /index.php?s=/Admin/AuthCheck/index1&_=1454637680387 | INFO: Tag[ route_check ] --END-- [ RunTime:0.005000s ]
[ 2016-02-05T10:01:20+08:00 ] /index.php?s=/Admin/AuthCheck/index1&_=1454637680387 | INFO: Tag[ app_begin ] --START--
[ 2016-02-05T10:01:20+08:00 ] /index.php?s=/Admin/AuthCheck/index1&_=1454637680387 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.002000s ]
[ 2016-02-05T10:01:20+08:00 ] /index.php?s=/Admin/AuthCheck/index1&_=1454637680387 | INFO: Run CheckLang Behavior [ RunTime:0.011000s ]
[ 2016-02-05T10:01:20+08:00 ] /index.php?s=/Admin/AuthCheck/index1&_=1454637680387 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.013000s ]
[ 2016-02-05T10:01:20+08:00 ] /index.php?s=/Admin/AuthCheck/index1&_=1454637680387 | INFO: Tag[ app_end ] --START--
[ 2016-02-05T10:01:20+08:00 ] /index.php?s=/Admin/AuthCheck/index1&_=1454637680387 | INFO: Run SaveConfig Behavior [ RunTime:0.003000s ]
[ 2016-02-05T10:01:20+08:00 ] /index.php?s=/Admin/AuthCheck/index1&_=1454637680387 | INFO: Tag[ app_end ] --END-- [ RunTime:0.003000s ]
[ 2016-02-05T10:01:37+08:00 ] /index.php?s=/Admin/AuthCheck/index1&_=1454637697018 | INFO: Tag[ app_init ] --START--
[ 2016-02-05T10:01:37+08:00 ] /index.php?s=/Admin/AuthCheck/index1&_=1454637697018 | INFO: Run XSS Behavior [ RunTime:0.004000s ]
[ 2016-02-05T10:01:37+08:00 ] /index.php?s=/Admin/AuthCheck/index1&_=1454637697018 | INFO: Tag[ app_init ] --END-- [ RunTime:0.004000s ]
[ 2016-02-05T10:01:37+08:00 ] /index.php?s=/Admin/AuthCheck/index1&_=1454637697018 | INFO: Tag[ route_check ] --START--
[ 2016-02-05T10:01:37+08:00 ] /index.php?s=/Admin/AuthCheck/index1&_=1454637697018 | INFO: Run CheckRoute Behavior [ RunTime:0.004000s ]
[ 2016-02-05T10:01:37+08:00 ] /index.php?s=/Admin/AuthCheck/index1&_=1454637697018 | INFO: Tag[ route_check ] --END-- [ RunTime:0.004000s ]
[ 2016-02-05T10:01:37+08:00 ] /index.php?s=/Admin/AuthCheck/index1&_=1454637697018 | INFO: Tag[ app_begin ] --START--
[ 2016-02-05T10:01:37+08:00 ] /index.php?s=/Admin/AuthCheck/index1&_=1454637697018 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.003000s ]
[ 2016-02-05T10:01:37+08:00 ] /index.php?s=/Admin/AuthCheck/index1&_=1454637697018 | INFO: Run CheckLang Behavior [ RunTime:0.011001s ]
[ 2016-02-05T10:01:37+08:00 ] /index.php?s=/Admin/AuthCheck/index1&_=1454637697018 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.015001s ]
[ 2016-02-05T10:01:37+08:00 ] /index.php?s=/Admin/AuthCheck/index1&_=1454637697018 | INFO: Tag[ app_end ] --START--
[ 2016-02-05T10:01:37+08:00 ] /index.php?s=/Admin/AuthCheck/index1&_=1454637697018 | INFO: Run SaveConfig Behavior [ RunTime:0.003000s ]
[ 2016-02-05T10:01:37+08:00 ] /index.php?s=/Admin/AuthCheck/index1&_=1454637697018 | INFO: Tag[ app_end ] --END-- [ RunTime:0.003000s ]
[ 2016-02-05T10:01:57+08:00 ] /index.php?s=/Admin/AuthCheck/index1&_=1454637717479 | INFO: Tag[ app_init ] --START--
[ 2016-02-05T10:01:57+08:00 ] /index.php?s=/Admin/AuthCheck/index1&_=1454637717479 | INFO: Run XSS Behavior [ RunTime:0.001000s ]
[ 2016-02-05T10:01:57+08:00 ] /index.php?s=/Admin/AuthCheck/index1&_=1454637717479 | INFO: Tag[ app_init ] --END-- [ RunTime:0.002000s ]
[ 2016-02-05T10:01:57+08:00 ] /index.php?s=/Admin/AuthCheck/index1&_=1454637717479 | INFO: Tag[ route_check ] --START--
[ 2016-02-05T10:01:57+08:00 ] /index.php?s=/Admin/AuthCheck/index1&_=1454637717479 | INFO: Run CheckRoute Behavior [ RunTime:0.003000s ]
[ 2016-02-05T10:01:57+08:00 ] /index.php?s=/Admin/AuthCheck/index1&_=1454637717479 | INFO: Tag[ route_check ] --END-- [ RunTime:0.003000s ]
[ 2016-02-05T10:01:57+08:00 ] /index.php?s=/Admin/AuthCheck/index1&_=1454637717479 | INFO: Tag[ app_begin ] --START--
