[ 2016-02-06T09:40:39+08:00 ] /pc_denglu.php?s= | INFO: Tag[ app_begin ] --END-- [ RunTime:0.003000s ]
[ 2016-02-06T09:40:39+08:00 ] /pc_denglu.php?s= | SQL: SHOW COLUMNS FROM `config` [ RunTime:0.018001s ]
[ 2016-02-06T09:40:39+08:00 ] /pc_denglu.php?s= | SQL: SELECT * FROM `config` WHERE ( `name` = 'DIFFTIME' ) LIMIT 1   FOR UPDATE  [ RunTime:0.001000s ]
[ 2016-02-06T09:40:39+08:00 ] /pc_denglu.php?s= | SQL: SHOW COLUMNS FROM `admin` [ RunTime:0.021002s ]
[ 2016-02-06T09:40:39+08:00 ] /pc_denglu.php?s= | SQL: SELECT `admin_status` FROM `admin` WHERE ( `id` = '1' ) LIMIT 1   [ RunTime:0.001000s ]
[ 2016-02-06T09:40:39+08:00 ] /pc_denglu.php?s= | SQL: SHOW COLUMNS FROM `node` [ RunTime:0.031002s ]
[ 2016-02-06T09:40:39+08:00 ] /pc_denglu.php?s= | SQL: SELECT * FROM `node` WHERE level=1 and status=1 and is_sync_menu=1 and type=0 ORDER BY sort asc  [ RunTime:0.002000s ]
[ 2016-02-06T09:40:39+08:00 ] /pc_denglu.php?s= | SQL: SELECT * FROM `node` WHERE id='2' LIMIT 1   FOR UPDATE  [ RunTime:0.000000s ]
[ 2016-02-06T09:40:40+08:00 ] /pc_denglu.php?s= | SQL: SELECT * FROM `node` WHERE ( `id` = '1' ) LIMIT 1   FOR UPDATE  [ RunTime:0.001000s ]
[ 2016-02-06T09:40:40+08:00 ] /pc_denglu.php?s= | SQL: SELECT * FROM `node` WHERE Name<>'Admin' and pid=0  FOR UPDATE  [ RunTime:0.001000s ]
[ 2016-02-06T09:40:40+08:00 ] /pc_denglu.php?s= | SQL: SHOW COLUMNS FROM `dms_邮件` [ RunTime:0.033002s ]
[ 2016-02-06T09:40:40+08:00 ] /pc_denglu.php?s= | SQL: SELECT COUNT(*) AS tp_count FROM `dms_邮件` WHERE 收件人类型='管理员' and 状态=0 LIMIT 1   FOR UPDATE  [ RunTime:0.000000s ]
[ 2016-02-06T09:40:40+08:00 ] /pc_denglu.php?s= | SQL: SHOW COLUMNS FROM `dms_汇款通知` [ RunTime:0.025001s ]
[ 2016-02-06T09:40:40+08:00 ] /pc_denglu.php?s= | SQL: SELECT COUNT(id) AS tp_count FROM `dms_汇款通知` WHERE 状态=0 LIMIT 1   FOR UPDATE  [ RunTime:0.001001s ]
[ 2016-02-06T09:40:40+08:00 ] /pc_denglu.php?s= | INFO: Tag[ view_template ] --START--
[ 2016-02-06T09:40:40+08:00 ] /pc_denglu.php?s= | INFO: Run LocationTemplate Behavior [ RunTime:0.002001s ]
[ 2016-02-06T09:40:40+08:00 ] /pc_denglu.php?s= | INFO: Tag[ view_template ] --END-- [ RunTime:0.003001s ]
[ 2016-02-06T09:40:40+08:00 ] /pc_denglu.php?s= | INFO: Tag[ view_parse ] --START--
[ 2016-02-06T09:40:40+08:00 ] /pc_denglu.php?s= | SQL: SELECT * FROM `node` WHERE ( `id` = '2' ) LIMIT 1   [ RunTime:0.001000s ]
[ 2016-02-06T09:40:40+08:00 ] /pc_denglu.php?s= | SQL: SELECT * FROM `node` WHERE ( `id` = '2' ) LIMIT 1   [ RunTime:0.001000s ]
[ 2016-02-06T09:40:40+08:00 ] /pc_denglu.php?s= | SQL: SELECT * FROM `node` WHERE ( `id` = '2' ) LIMIT 1   [ RunTime:0.001000s ]
[ 2016-02-06T09:40:40+08:00 ] /pc_denglu.php?s= | SQL: SELECT * FROM `node` WHERE ( `id` = '2' ) LIMIT 1   [ RunTime:0.001000s ]
[ 2016-02-06T09:40:40+08:00 ] /pc_denglu.php?s= | SQL: SELECT * FROM `node` WHERE ( `id` = '2' ) LIMIT 1   [ RunTime:0.001000s ]
[ 2016-02-06T09:40:40+08:00 ] /pc_denglu.php?s= | SQL: SELECT * FROM `node` WHERE ( `id` = '2' ) LIMIT 1   [ RunTime:0.001000s ]
[ 2016-02-06T09:40:40+08:00 ] /pc_denglu.php?s= | INFO: Run ParseTemplate Behavior [ RunTime:0.114006s ]
[ 2016-02-06T09:40:40+08:00 ] /pc_denglu.php?s= | INFO: Tag[ view_parse ] --END-- [ RunTime:0.115006s ]
[ 2016-02-06T09:40:40+08:00 ] /pc_denglu.php?s= | INFO: Tag[ view_filter ] --START--
[ 2016-02-06T09:40:40+08:00 ] /pc_denglu.php?s= | INFO: Run ContentReplace Behavior [ RunTime:0.002000s ]
[ 2016-02-06T09:40:40+08:00 ] /pc_denglu.php?s= | INFO: Run TokenBuild Behavior [ RunTime:0.003000s ]
[ 2016-02-06T09:40:40+08:00 ] /pc_denglu.php?s= | INFO: Run WriteHtmlCache Behavior [ RunTime:0.001000s ]
[ 2016-02-06T09:40:40+08:00 ] /pc_denglu.php?s= | INFO: Run ShowRuntime Behavior [ RunTime:0.001000s ]
[ 2016-02-06T09:40:40+08:00 ] /pc_denglu.php?s= | INFO: Tag[ view_filter ] --END-- [ RunTime:0.009001s ]
[ 2016-02-06T09:40:40+08:00 ] /pc_denglu.php?s= | INFO: Tag[ view_end ] --START--
[ 2016-02-06T09:40:40+08:00 ] /pc_denglu.php?s= | INFO: Run ShowPageTrace Behavior [ RunTime:0.002000s ]
[ 2016-02-06T09:40:40+08:00 ] /pc_denglu.php?s= | INFO: Tag[ view_end ] --END-- [ RunTime:0.002000s ]
[ 2016-02-06T09:40:40+08:00 ] /pc_denglu.php?s= | INFO: Tag[ app_end ] --START--
[ 2016-02-06T09:40:40+08:00 ] /pc_denglu.php?s= | INFO: Run SaveConfig Behavior [ RunTime:0.003000s ]
[ 2016-02-06T09:40:40+08:00 ] /pc_denglu.php?s= | INFO: Tag[ app_end ] --END-- [ RunTime:0.003000s ]
[ 2016-02-06T09:40:40+08:00 ] /pc_denglu.php?s=/Index/checkxml | INFO: Tag[ app_init ] --START--
[ 2016-02-06T09:40:40+08:00 ] /pc_denglu.php?s=/Index/checkxml | INFO: Run XSS Behavior [ RunTime:0.002001s ]
[ 2016-02-06T09:40:40+08:00 ] /pc_denglu.php?s=/Index/checkxml | INFO: Tag[ app_init ] --END-- [ RunTime:0.003001s ]
[ 2016-02-06T09:40:40+08:00 ] /pc_denglu.php?s=/Index/checkxml | INFO: Tag[ route_check ] --START--
[ 2016-02-06T09:40:40+08:00 ] /pc_denglu.php?s=/Index/checkxml | INFO: Run CheckRoute Behavior [ RunTime:0.003000s ]
[ 2016-02-06T09:40:40+08:00 ] /pc_denglu.php?s=/Index/checkxml | INFO: Tag[ route_check ] --END-- [ RunTime:0.003000s ]
[ 2016-02-06T09:40:40+08:00 ] /pc_denglu.php?s=/Index/checkxml | INFO: Tag[ app_begin ] --START--
[ 2016-02-06T09:40:40+08:00 ] /pc_denglu.php?s=/Index/checkxml | INFO: Run ReadHtmlCache Behavior [ RunTime:0.003000s ]
[ 2016-02-06T09:40:40+08:00 ] /pc_denglu.php?s=/Index/checkxml | INFO: Tag[ app_begin ] --END-- [ RunTime:0.004000s ]
[ 2016-02-06T09:40:40+08:00 ] /pc_denglu.php?s=/Index/checkxml | SQL: SHOW COLUMNS FROM `config` [ RunTime:0.024001s ]
[ 2016-02-06T09:40:40+08:00 ] /pc_denglu.php?s=/Index/checkxml | SQL: SELECT * FROM `config` WHERE ( `name` = 'DIFFTIME' ) LIMIT 1   FOR UPDATE  [ RunTime:0.001000s ]
[ 2016-02-06T09:40:40+08:00 ] /pc_denglu.php?s=/Index/checkxml | SQL: SHOW COLUMNS FROM `admin` [ RunTime:0.036002s ]
[ 2016-02-06T09:40:40+08:00 ] /pc_denglu.php?s=/Index/checkxml | SQL: SELECT `admin_status` FROM `admin` WHERE ( `id` = '1' ) LIMIT 1   [ RunTime:0.001000s ]
[ 2016-02-06T09:40:40+08:00 ] /pc_denglu.php?s=/Index/checkxml | INFO: Tag[ app_end ] --START--
[ 2016-02-06T09:40:40+08:00 ] /pc_denglu.php?s=/Index/checkxml | INFO: Run SaveConfig Behavior [ RunTime:0.002000s ]
[ 2016-02-06T09:40:40+08:00 ] /pc_denglu.php?s=/Index/checkxml | INFO: Tag[ app_end ] --END-- [ RunTime:0.002000s ]
[ 2016-02-06T09:40:54+08:00 ] /pc_denglu.php?s=/Backup/index&_=1454722854152 | INFO: Tag[ app_init ] --START--
[ 2016-02-06T09:40:54+08:00 ] /pc_denglu.php?s=/Backup/index&_=1454722854152 | INFO: Run XSS Behavior [ RunTime:0.001000s ]
[ 2016-02-06T09:40:54+08:00 ] /pc_denglu.php?s=/Backup/index&_=1454722854152 | INFO: Tag[ app_init ] --END-- [ RunTime:0.001000s ]
[ 2016-02-06T09:40:54+08:00 ] /pc_denglu.php?s=/Backup/index&_=1454722854152 | INFO: Tag[ route_check ] --START--
[ 2016-02-06T09:40:54+08:00 ] /pc_denglu.php?s=/Backup/index&_=1454722854152 | INFO: Run CheckRoute Behavior [ RunTime:0.002000s ]
[ 2016-02-06T09:40:54+08:00 ] /pc_denglu.php?s=/Backup/index&_=1454722854152 | INFO: Tag[ route_check ] --END-- [ RunTime:0.002000s ]
[ 2016-02-06T09:40:54+08:00 ] /pc_denglu.php?s=/Backup/index&_=1454722854152 | INFO: Tag[ app_begin ] --START--
[ 2016-02-06T09:40:54+08:00 ] /pc_denglu.php?s=/Backup/index&_=1454722854152 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.002000s ]
[ 2016-02-06T09:40:54+08:00 ] /pc_denglu.php?s=/Backup/index&_=1454722854152 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002000s ]
[ 2016-02-06T09:40:54+08:00 ] /pc_denglu.php?s=/Backup/index&_=1454722854152 | SQL: SHOW COLUMNS FROM `config` [ RunTime:0.020001s ]
[ 2016-02-06T09:40:54+08:00 ] /pc_denglu.php?s=/Backup/index&_=1454722854152 | SQL: SELECT * FROM `config` WHERE ( `name` = 'DIFFTIME' ) LIMIT 1   FOR UPDATE  [ RunTime:0.001000s ]
[ 2016-02-06T09:40:54+08:00 ] /pc_denglu.php?s=/Backup/index&_=1454722854152 | SQL: SHOW COLUMNS FROM `admin` [ RunTime:0.030002s ]
[ 2016-02-06T09:40:54+08:00 ] /pc_denglu.php?s=/Backup/index&_=1454722854152 | SQL: SELECT `admin_status` FROM `admin` WHERE ( `id` = '1' ) LIMIT 1   [ RunTime:0.001000s ]
[ 2016-02-06T09:40:54+08:00 ] /pc_denglu.php?s=/Backup/index&_=1454722854152 | INFO: Tag[ view_template ] --START--
[ 2016-02-06T09:40:54+08:00 ] /pc_denglu.php?s=/Backup/index&_=1454722854152 | INFO: Run LocationTemplate Behavior [ RunTime:0.004001s ]
[ 2016-02-06T09:40:54+08:00 ] /pc_denglu.php?s=/Backup/index&_=1454722854152 | INFO: Tag[ view_template ] --END-- [ RunTime:0.004001s ]
[ 2016-02-06T09:40:54+08:00 ] /pc_denglu.php?s=/Backup/index&_=1454722854152 | INFO: Tag[ view_parse ] --START--
